prompt,julia code
"###Prompt:
Translate the problem below into this DSL:

minimize (u - W)
# Variable: x, ti, Wo, tf
# State: s, YA, kA
# Control: u, Wx, OM, p
# Dynamics
YA'(t) = ((-40 / x) + (80 - -71)),
# Initial Conditions
YA(ti) = 17
kA(ti) = -30,
# Final Conditions
,
# State Constraints
YA(t) => yS
kA(t) <= VH,
# Variable Constraints
Wo <= yS,
# Control Constraints
Wx(t) => -54
OM(t) => VH
yS <= p(t) <= VH
where VH = -44, yS = 91Y(YA) = ((y - 54) - (67 + -29)), r(kA) = ((-7 - y) * (-98 / y)), yc(kA) = ((-44 + -75) / (-30 + k)), ","###DSL:
VH = -44
yS = 91
Y(YA) = ((y - 54) - (67 + -29))
r(kA) = ((-7 - y) * (-98 / y))
yc(kA) = ((-44 + -75) / (-30 + k))

@def begin
    x = (ti, Wo, tf) ∈ R³, variable
    t ∈ [ti, tf], time
    s = (YA, kA) ∈ R², state
    u = (Wx, OM, p) ∈ R³, control

    # Dynamics
    ∂(YA)(t) == ((-40 / x) + (80 - -71))

    # Initial Conditions
    YA(ti) == 17
    kA(ti) == -30

    # Final Conditions

    # State Constraints
    YA(t) ≥ yS
    kA(t) ≤ VH

    # Variable Constraints
    ti ≤ tf
    Wo ≤ yS

    # Control Constraints
    Wx(t) ≥ -54
    OM(t) ≥ VH
    yS ≤ p(t) ≤ VH

    # Objective
    (u - W) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize z
# Variable: None
# State: z
# Control: X
# Dynamics
z'(t) = ((35 - -79) + (Z * -99)),
# Initial Conditions
z(41) = -17,
# Final Conditions
z(47) = -72,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
81 <= X(t) <= Z
where Z = -20, Z = 51","###DSL:
Z = -20
Z = 51

@def begin
    t ∈ [41, 47], time
    z ∈ R, state
    X ∈ R, control

    # Dynamics
    ∂(z)(t) == ((35 - -79) + (Z * -99))

    # Initial Conditions
    z(41) == -17

    # Final Conditions
    z(47) == -72

    # State Constraints

    # Variable Constraints

    # Control Constraints
    81 ≤ X(t) ≤ Z

    # Objective
    z => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (u / s)
# Variable: None
# State: s, Ak, vZ, Kr
# Control: u, pS, BO
# Dynamics
Ak'(t) = ((p * 65) - (B / B))
vZ'(t) = ((62 + -98) * (u / B))
Kr'(t) = ((31 + -47) + (83 - u)),
# Initial Conditions
Ak(0) = -43,
# Final Conditions
Ak(85) = 2,
# State Constraints
Ak(t) => 69
Kr(t) <= -23,
# Variable Constraints
,
# Control Constraints
-59 => pS(t) => 2
-97 => BO(t) => -87
","###DSL:

@def begin
    t ∈ [0, 85], time
    s = (Ak, vZ, Kr) ∈ R³, state
    u = (pS, BO) ∈ R², control

    # Dynamics
    ∂(Ak)(t) == ((p * 65) - (B / B))
    ∂(vZ)(t) == ((62 + -98) * (u / B))
    ∂(Kr)(t) == ((31 + -47) + (83 - u))

    # Initial Conditions
    Ak(0) == -43

    # Final Conditions
    Ak(85) == 2

    # State Constraints
    Ak(t) ≥ 69
    Kr(t) ≤ -23

    # Variable Constraints

    # Control Constraints
    -59 ≥ pS(t) ≥ 2
    -97 ≥ BO(t) ≥ -87

    # Objective
    (u / s) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize u
# Variable: None
# State: s, t, iq
# Control: u, R, I, OY
# Dynamics
t'(t) = ((O - -84) * (s / -3)),
# Initial Conditions
iq(0) = 51,
# Final Conditions
t(61) = -11
iq(61) = s,
# State Constraints
t(t) <= s,
# Variable Constraints
,
# Control Constraints
R(t) => 28
I(t) => W
OY(t) <= s
where W = -46, s = ((W * -25) * (62 - W))","###DSL:
W = -46
s = ((W * -25) * (62 - W))

@def begin
    t ∈ [0, 61], time
    s = (t, iq) ∈ R², state
    u = (R, I, OY) ∈ R³, control

    # Dynamics
    ∂(t)(t) == ((O - -84) * (s / -3))

    # Initial Conditions
    iq(0) == 51

    # Final Conditions
    t(61) == -11
    iq(61) == s

    # State Constraints
    t(t) ≤ s

    # Variable Constraints

    # Control Constraints
    R(t) ≥ 28
    I(t) ≥ W
    OY(t) ≤ s

    # Objective
    u => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize M
# Variable: None
# State: C
# Control: u, M, Un
# Dynamics
,
# Initial Conditions
,
# Final Conditions
,
# State Constraints
C(t) <= -61,
# Variable Constraints
,
# Control Constraints
66 => M(t) => 18
11 <= Un(t) <= 58
","###DSL:

@def begin
    t ∈ [0, 62], time
    C ∈ R, state
    u = (M, Un) ∈ R², control

    # Dynamics

    # Initial Conditions

    # Final Conditions

    # State Constraints
    C(t) ≤ -61

    # Variable Constraints

    # Control Constraints
    66 ≥ M(t) ≥ 18
    11 ≤ Un(t) ≤ 58

    # Objective
    M => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize lx
# Variable: ti
# State: s, fK, lx, uM
# Control: u, q, i
# Dynamics
lx'(t) = ((-59 * 7) - (73 / q))
uM'(t) = ((-52 + q) * (t + 54)),
# Initial Conditions
,
# Final Conditions
uM(15) = -19,
# State Constraints
lx(t) => -32
uM(t) => -7,
# Variable Constraints
,
# Control Constraints
-100 <= i(t) <= -55
","###DSL:

@def begin
    ti ∈ R, variable
    t ∈ [ti, 15], time
    s = (fK, lx, uM) ∈ R³, state
    u = (q, i) ∈ R², control

    # Dynamics
    ∂(lx)(t) == ((-59 * 7) - (73 / q))
    ∂(uM)(t) == ((-52 + q) * (t + 54))

    # Initial Conditions

    # Final Conditions
    uM(15) == -19

    # State Constraints
    lx(t) ≥ -32
    uM(t) ≥ -7

    # Variable Constraints
    ti ≤ 15

    # Control Constraints
    -100 ≤ i(t) ≤ -55

    # Objective
    lx => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (t + f)
# Variable: x, BP, tf, P
# State: J
# Control: u, i, t, f
# Dynamics
,
# Initial Conditions
,
# Final Conditions
,
# State Constraints
J(t) => -26,
# Variable Constraints
,
# Control Constraints
t(t) <= -95
where g = ((59 * -42) * (72 - -51))i(J) = ((g / g) * (g / 69)), M(J) = ((21 * g) / (-76 * 42)), ","###DSL:
g = ((59 * -42) * (72 - -51))
i(J) = ((g / g) * (g / 69))
M(J) = ((21 * g) / (-76 * 42))

@def begin
    x = (BP, tf, P) ∈ R³, variable
    t ∈ [43, tf], time
    J ∈ R, state
    u = (i, t, f) ∈ R³, control

    # Dynamics

    # Initial Conditions

    # Final Conditions

    # State Constraints
    J(t) ≥ -26

    # Variable Constraints
    tf ≥ 43

    # Control Constraints
    t(t) ≤ -95

    # Objective
    (t + f) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (t + t)
# Variable: tf
# State: Bu
# Control: u, r, mV
# Dynamics
Bu'(t) = ((53 - m) * (L / X)),
# Initial Conditions
Bu(61) = Xa,
# Final Conditions
Bu(tf) = -62,
# State Constraints
Bu(t) <= 73,
# Variable Constraints
,
# Control Constraints
70 => r(t) => -56
mV(t) => LX
where Xa = 12, I = 100, I = ((85 - I) + (86 + Xa)), LX = ((52 / I) * (I / 3)), i = ((I - -76) - (I - I))","###DSL:
Xa = 12
I = 100
I = ((85 - I) + (86 + Xa))
LX = ((52 / I) * (I / 3))
i = ((I - -76) - (I - I))

@def begin
    tf ∈ R, variable
    t ∈ [61, tf], time
    Bu ∈ R, state
    u = (r, mV) ∈ R², control

    # Dynamics
    ∂(Bu)(t) == ((53 - m) * (L / X))

    # Initial Conditions
    Bu(61) == Xa

    # Final Conditions
    Bu(tf) == -62

    # State Constraints
    Bu(t) ≤ 73

    # Variable Constraints
    tf ≥ 61

    # Control Constraints
    70 ≥ r(t) ≥ -56
    mV(t) ≥ LX

    # Objective
    (t + t) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize x
# Variable: x, ti, tf, G
# State: a
# Control: SA
# Dynamics
a'(t) = ((25 / -57) + (9 * 64)),
# Initial Conditions
a(ti) = -7,
# Final Conditions
,
# State Constraints
a(t) <= -5,
# Variable Constraints
G => CA,
# Control Constraints
SA(t) => -97
where CA = 50p(a) = ((a + -10) / (19 + -16)), e(a) = ((47 / C) - (C * -2)), ","###DSL:
CA = 50
p(a) = ((a + -10) / (19 + -16))
e(a) = ((47 / C) - (C * -2))

@def begin
    x = (ti, tf, G) ∈ R³, variable
    t ∈ [ti, tf], time
    a ∈ R, state
    SA ∈ R, control

    # Dynamics
    ∂(a)(t) == ((25 / -57) + (9 * 64))

    # Initial Conditions
    a(ti) == -7

    # Final Conditions

    # State Constraints
    a(t) ≤ -5

    # Variable Constraints
    ti ≤ tf
    G ≥ CA

    # Control Constraints
    SA(t) ≥ -97

    # Objective
    x => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize x
# Variable: x, k, tf
# State: s, hg, D
# Control: u, W, N, Ef
# Dynamics
D'(t) = ((-89 - -45) / (t / u)),
# Initial Conditions
D(24) = -94,
# Final Conditions
D(tf) = Jb,
# State Constraints
hg(t) <= Jb,
# Variable Constraints
,
# Control Constraints
Jb <= W(t) <= 4
N(t) => Jb
where Jb = ((-100 - 57) + (-67 * -2))","###DSL:
Jb = ((-100 - 57) + (-67 * -2))

@def begin
    x = (k, tf) ∈ R², variable
    t ∈ [24, tf], time
    s = (hg, D) ∈ R², state
    u = (W, N, Ef) ∈ R³, control

    # Dynamics
    ∂(D)(t) == ((-89 - -45) / (t / u))

    # Initial Conditions
    D(24) == -94

    # Final Conditions
    D(tf) == Jb

    # State Constraints
    hg(t) ≤ Jb

    # Variable Constraints
    tf ≥ 24

    # Control Constraints
    Jb ≤ W(t) ≤ 4
    N(t) ≥ Jb

    # Objective
    x => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (t + s)
# Variable: x, F, tf
# State: s, x, sR, PR
# Control: u, v, iN, sB
# Dynamics
x'(t) = ((-72 * f) / (F + F)),
# Initial Conditions
x(0) = 84
sR(0) = 27
PR(0) = i,
# Final Conditions
sR(tf) = -48
PR(tf) = 77,
# State Constraints
sR(t) => 81
PR(t) <= 72,
# Variable Constraints
,
# Control Constraints
f => v(t) => 30
-44 => iN(t) => Pl
where Pl = 98, i = 7, f = 2","###DSL:
Pl = 98
i = 7
f = 2

@def begin
    x = (F, tf) ∈ R², variable
    t ∈ [0, tf], time
    s = (x, sR, PR) ∈ R³, state
    u = (v, iN, sB) ∈ R³, control

    # Dynamics
    ∂(x)(t) == ((-72 * f) / (F + F))

    # Initial Conditions
    x(0) == 84
    sR(0) == 27
    PR(0) == i

    # Final Conditions
    sR(tf) == -48
    PR(tf) == 77

    # State Constraints
    sR(t) ≥ 81
    PR(t) ≤ 72

    # Variable Constraints
    tf ≥ 0

    # Control Constraints
    f ≥ v(t) ≥ 30
    -44 ≥ iN(t) ≥ Pl

    # Objective
    (t + s) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize UZ
# Variable: UZ
# State: c
# Control: dB
# Dynamics
,
# Initial Conditions
,
# Final Conditions
c(96) = 81,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
vc => dB(t) => -1
where u = -87, vc = -99, Aa = 48","###DSL:
u = -87
vc = -99
Aa = 48

@def begin
    UZ ∈ R, variable
    t ∈ [94, 96], time
    c ∈ R, state
    dB ∈ R, control

    # Dynamics

    # Initial Conditions

    # Final Conditions
    c(96) == 81

    # State Constraints

    # Variable Constraints

    # Control Constraints
    vc ≥ dB(t) ≥ -1

    # Objective
    UZ => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (T - s)
# Variable: None
# State: s, e, B, TU
# Control: Oq
# Dynamics
e'(t) = ((a / -54) + (O + k))
B'(t) = ((7 - -93) - (-77 / -7))
TU'(t) = ((59 - 55) + (O - 9)),
# Initial Conditions
TU(0) = a,
# Final Conditions
e(57) = 49
B(57) = ku,
# State Constraints
B(t) <= 0
TU(t) <= a,
# Variable Constraints
,
# Control Constraints
70 => Oq(t) => -85
where a = -93, xh = -70, ku = 61","###DSL:
a = -93
xh = -70
ku = 61

@def begin
    t ∈ [0, 57], time
    s = (e, B, TU) ∈ R³, state
    Oq ∈ R, control

    # Dynamics
    ∂(e)(t) == ((a / -54) + (O + k))
    ∂(B)(t) == ((7 - -93) - (-77 / -7))
    ∂(TU)(t) == ((59 - 55) + (O - 9))

    # Initial Conditions
    TU(0) == a

    # Final Conditions
    e(57) == 49
    B(57) == ku

    # State Constraints
    B(t) ≤ 0
    TU(t) ≤ a

    # Variable Constraints

    # Control Constraints
    70 ≥ Oq(t) ≥ -85

    # Objective
    (T - s) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize w
# Variable: None
# State: w
# Control: u, Fv, Ud, PY
# Dynamics
,
# Initial Conditions
w(0) = Pp,
# Final Conditions
w(58) = Zo,
# State Constraints
w(t) <= -59,
# Variable Constraints
,
# Control Constraints
Fv(t) => X
X <= Ud(t) <= 14
PY(t) <= X
where rM = -91, X = ((1 * rM) * (-31 * rM)), Zo = ((rM / rM) / (X / 1)), Pp = ((X + X) + (X * Zo))","###DSL:
rM = -91
X = ((1 * rM) * (-31 * rM))
Zo = ((rM / rM) / (X / 1))
Pp = ((X + X) + (X * Zo))

@def begin
    t ∈ [0, 58], time
    w ∈ R, state
    u = (Fv, Ud, PY) ∈ R³, control

    # Dynamics

    # Initial Conditions
    w(0) == Pp

    # Final Conditions
    w(58) == Zo

    # State Constraints
    w(t) ≤ -59

    # Variable Constraints

    # Control Constraints
    Fv(t) ≥ X
    X ≤ Ud(t) ≤ 14
    PY(t) ≤ X

    # Objective
    w => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize u
# Variable: None
# State: s, qa, G, A
# Control: u, vQ, bA
# Dynamics
qa'(t) = ((b - O) + (-25 - O))
A'(t) = ((q * q) + (59 / -98)),
# Initial Conditions
qa(6) = 81
G(6) = -15
A(6) = 38,
# Final Conditions
qa(66) = 80
G(66) = -33
A(66) = 62,
# State Constraints
qa(t) <= m
G(t) <= q,
# Variable Constraints
,
# Control Constraints
O <= vQ(t) <= 66
q => bA(t) => -96
where O = 98, q = 98, m = 4","###DSL:
O = 98
q = 98
m = 4

@def begin
    t ∈ [6, 66], time
    s = (qa, G, A) ∈ R³, state
    u = (vQ, bA) ∈ R², control

    # Dynamics
    ∂(qa)(t) == ((b - O) + (-25 - O))
    ∂(A)(t) == ((q * q) + (59 / -98))

    # Initial Conditions
    qa(6) == 81
    G(6) == -15
    A(6) == 38

    # Final Conditions
    qa(66) == 80
    G(66) == -33
    A(66) == 62

    # State Constraints
    qa(t) ≤ m
    G(t) ≤ q

    # Variable Constraints

    # Control Constraints
    O ≤ vQ(t) ≤ 66
    q ≥ bA(t) ≥ -96

    # Objective
    u => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize Mh
# Variable: None
# State: s, E, y, t
# Control: u, C, Mh, ll
# Dynamics
y'(t) = ((-83 - H) + (85 * -57)),
# Initial Conditions
E(0) = 29,
# Final Conditions
y(92) = -95
t(92) = H,
# State Constraints
E(t) <= -43
y(t) => H
t(t) => H,
# Variable Constraints
,
# Control Constraints
C(t) <= H
Mh(t) <= H
ll(t) => r
where H = -1, r = 47, H = 76","###DSL:
H = -1
r = 47
H = 76

@def begin
    t ∈ [0, 92], time
    s = (E, y, t) ∈ R³, state
    u = (C, Mh, ll) ∈ R³, control

    # Dynamics
    ∂(y)(t) == ((-83 - H) + (85 * -57))

    # Initial Conditions
    E(0) == 29

    # Final Conditions
    y(92) == -95
    t(92) == H

    # State Constraints
    E(t) ≤ -43
    y(t) ≥ H
    t(t) ≥ H

    # Variable Constraints

    # Control Constraints
    C(t) ≤ H
    Mh(t) ≤ H
    ll(t) ≥ r

    # Objective
    Mh => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize yt
# Variable: tf
# State: s, qH, LQ
# Control: u, G, yt
# Dynamics
,
# Initial Conditions
LQ(51) = -27,
# Final Conditions
,
# State Constraints
LQ(t) => -77,
# Variable Constraints
,
# Control Constraints
G(t) => Z
yt(t) => 32
where Z = -20","###DSL:
Z = -20

@def begin
    tf ∈ R, variable
    t ∈ [51, tf], time
    s = (qH, LQ) ∈ R², state
    u = (G, yt) ∈ R², control

    # Dynamics

    # Initial Conditions
    LQ(51) == -27

    # Final Conditions

    # State Constraints
    LQ(t) ≥ -77

    # Variable Constraints
    tf ≥ 51

    # Control Constraints
    G(t) ≥ Z
    yt(t) ≥ 32

    # Objective
    yt => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (u * t)
# Variable: tf
# State: u
# Control: If
# Dynamics
,
# Initial Conditions
u(51) = -34,
# Final Conditions
u(tf) = 53,
# State Constraints
u(t) <= i,
# Variable Constraints
,
# Control Constraints
If(t) => BP
where u = -97, BP = -42, i = 65","###DSL:
u = -97
BP = -42
i = 65

@def begin
    tf ∈ R, variable
    t ∈ [51, tf], time
    u ∈ R, state
    If ∈ R, control

    # Dynamics

    # Initial Conditions
    u(51) == -34

    # Final Conditions
    u(tf) == 53

    # State Constraints
    u(t) ≤ i

    # Variable Constraints
    tf ≥ 51

    # Control Constraints
    If(t) ≥ BP

    # Objective
    (u * t) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (D / f)
# Variable: x, jK, g, jP
# State: s, D, j
# Control: u, f, f
# Dynamics
D'(t) = ((48 + -35) * (f / x))
j'(t) = ((j * j) - (30 - f)),
# Initial Conditions
,
# Final Conditions
D(47) = 50
j(47) = 37,
# State Constraints
j(t) <= 97,
# Variable Constraints
jP <= 20,
# Control Constraints
15 <= f(t) <= 21
f(t) => -67
pm(j) = ((j * -6) - (-65 / -10)), kc(j) = ((j - 38) / (6 - j)), ","###DSL:
pm(j) = ((j * -6) - (-65 / -10))
kc(j) = ((j - 38) / (6 - j))

@def begin
    x = (jK, g, jP) ∈ R³, variable
    t ∈ [20, 47], time
    s = (D, j) ∈ R², state
    u = (f, f) ∈ R², control

    # Dynamics
    ∂(D)(t) == ((48 + -35) * (f / x))
    ∂(j)(t) == ((j * j) - (30 - f))

    # Initial Conditions

    # Final Conditions
    D(47) == 50
    j(47) == 37

    # State Constraints
    j(t) ≤ 97

    # Variable Constraints
    jP ≥ 20

    # Control Constraints
    15 ≤ f(t) ≤ 21
    f(t) ≥ -67

    # Objective
    (D / f) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize p
# Variable: x, tf, PU
# State: s
# Control: p
# Dynamics
s'(t) = ((-73 + P) - (P / 49)),
# Initial Conditions
,
# Final Conditions
s(tf) = -42,
# State Constraints
,
# Variable Constraints
,
# Control Constraints

","###DSL:

@def begin
    x = (tf, PU) ∈ R², variable
    t ∈ [0, tf], time
    s ∈ R, state
    p ∈ R, control

    # Dynamics
    ∂(s)(t) == ((-73 + P) - (P / 49))

    # Initial Conditions

    # Final Conditions
    s(tf) == -42

    # State Constraints

    # Variable Constraints
    tf ≥ 0

    # Control Constraints

    # Objective
    p => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize qg
# Variable: None
# State: Z
# Control: qg
# Dynamics
Z'(t) = ((R * -97) * (q / 26)),
# Initial Conditions
,
# Final Conditions
Z(95) = 11,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
Ru <= qg(t) <= 4
where Ru = -69","###DSL:
Ru = -69

@def begin
    t ∈ [0, 95], time
    Z ∈ R, state
    qg ∈ R, control

    # Dynamics
    ∂(Z)(t) == ((R * -97) * (q / 26))

    # Initial Conditions

    # Final Conditions
    Z(95) == 11

    # State Constraints

    # Variable Constraints

    # Control Constraints
    Ru ≤ qg(t) ≤ 4

    # Objective
    qg => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (G * s)
# Variable: tf
# State: s, z, GB, b
# Control: u, Cl, tf, ja
# Dynamics
z'(t) = ((-83 / t) * (13 * -6))
b'(t) = ((u + 89) / (54 / -64)),
# Initial Conditions
,
# Final Conditions
z(tf) = -33
b(tf) = 14,
# State Constraints
z(t) <= -96
GB(t) <= 8
b(t) => 25,
# Variable Constraints
,
# Control Constraints
Cl(t) => -1
tf(t) <= 69
ja(t) <= 2
","###DSL:

@def begin
    tf ∈ R, variable
    t ∈ [0, tf], time
    s = (z, GB, b) ∈ R³, state
    u = (Cl, tf, ja) ∈ R³, control

    # Dynamics
    ∂(z)(t) == ((-83 / t) * (13 * -6))
    ∂(b)(t) == ((u + 89) / (54 / -64))

    # Initial Conditions

    # Final Conditions
    z(tf) == -33
    b(tf) == 14

    # State Constraints
    z(t) ≤ -96
    GB(t) ≤ 8
    b(t) ≥ 25

    # Variable Constraints
    tf ≥ 0

    # Control Constraints
    Cl(t) ≥ -1
    tf(t) ≤ 69
    ja(t) ≤ 2

    # Objective
    (G * s) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (u * u)
# Variable: None
# State: u
# Control: u, hz, ND
# Dynamics
u'(t) = ((-87 * 91) - (s - -45)),
# Initial Conditions
u(50) = u,
# Final Conditions
u(75) = 63,
# State Constraints
u(t) <= 68,
# Variable Constraints
,
# Control Constraints
ND(t) => -98
where u = ((-6 + -49) + (55 + -33)), s = ((-51 + u) - (u * u))","###DSL:
u = ((-6 + -49) + (55 + -33))
s = ((-51 + u) - (u * u))

@def begin
    t ∈ [50, 75], time
    u ∈ R, state
    u = (hz, ND) ∈ R², control

    # Dynamics
    ∂(u)(t) == ((-87 * 91) - (s - -45))

    # Initial Conditions
    u(50) == u

    # Final Conditions
    u(75) == 63

    # State Constraints
    u(t) ≤ 68

    # Variable Constraints

    # Control Constraints
    ND(t) ≥ -98

    # Objective
    (u * u) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (u - j)
# Variable: None
# State: M
# Control: u, sn, j
# Dynamics
M'(t) = ((55 / 45) - (N * -75)),
# Initial Conditions
,
# Final Conditions
M(86) = N,
# State Constraints
M(t) => -46,
# Variable Constraints
,
# Control Constraints
sn(t) => N
j(t) => -44
where N = -92","###DSL:
N = -92

@def begin
    t ∈ [0, 86], time
    M ∈ R, state
    u = (sn, j) ∈ R², control

    # Dynamics
    ∂(M)(t) == ((55 / 45) - (N * -75))

    # Initial Conditions

    # Final Conditions
    M(86) == N

    # State Constraints
    M(t) ≥ -46

    # Variable Constraints

    # Control Constraints
    sn(t) ≥ N
    j(t) ≥ -44

    # Objective
    (u - j) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (s / n)
# Variable: tf
# State: s, sY, SX, O
# Control: u, no, E
# Dynamics
sY'(t) = ((T - t) / (-96 + 56))
SX'(t) = ((-27 - -23) / (-92 / u)),
# Initial Conditions
SX(0) = -100
O(0) = 7,
# Final Conditions
SX(tf) = fJ
O(tf) = p,
# State Constraints
O(t) => T,
# Variable Constraints
,
# Control Constraints
1 <= no(t) <= fJ
fJ <= E(t) <= 68
where T = 70, fJ = 52, p = ((fJ + T) / (T - 70))","###DSL:
T = 70
fJ = 52
p = ((fJ + T) / (T - 70))

@def begin
    tf ∈ R, variable
    t ∈ [0, tf], time
    s = (sY, SX, O) ∈ R³, state
    u = (no, E) ∈ R², control

    # Dynamics
    ∂(sY)(t) == ((T - t) / (-96 + 56))
    ∂(SX)(t) == ((-27 - -23) / (-92 / u))

    # Initial Conditions
    SX(0) == -100
    O(0) == 7

    # Final Conditions
    SX(tf) == fJ
    O(tf) == p

    # State Constraints
    O(t) ≥ T

    # Variable Constraints
    tf ≥ 0

    # Control Constraints
    1 ≤ no(t) ≤ fJ
    fJ ≤ E(t) ≤ 68

    # Objective
    (s / n) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (q + t)
# Variable: x, tf, ti
# State: s, vP, qD
# Control: a
# Dynamics
vP'(t) = ((81 + C) - (-68 - 24))
qD'(t) = ((V - x) - (r / x)),
# Initial Conditions
vP(ti) = V,
# Final Conditions
qD(tf) = W,
# State Constraints
vP(t) => r
qD(t) => -66,
# Variable Constraints
,
# Control Constraints
a(t) <= Fj
where CD = -43, r = 41, Fj = 25, V = -83, W = -74r(qD) = ((F / -93) - (F * q)), E(qD) = ((C / 57) / (q + -60)), R(vP) = ((80 * v) + (r * r)), ","###DSL:
CD = -43
r = 41
Fj = 25
V = -83
W = -74
r(qD) = ((F / -93) - (F * q))
E(qD) = ((C / 57) / (q + -60))
R(vP) = ((80 * v) + (r * r))

@def begin
    x = (tf, ti) ∈ R², variable
    t ∈ [ti, tf], time
    s = (vP, qD) ∈ R², state
    a ∈ R, control

    # Dynamics
    ∂(vP)(t) == ((81 + C) - (-68 - 24))
    ∂(qD)(t) == ((V - x) - (r / x))

    # Initial Conditions
    vP(ti) == V

    # Final Conditions
    qD(tf) == W

    # State Constraints
    vP(t) ≥ r
    qD(t) ≥ -66

    # Variable Constraints
    ti ≤ tf

    # Control Constraints
    a(t) ≤ Fj

    # Objective
    (q + t) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (H + s)
# Variable: x, H, tf, Uh
# State: s, PA, qI
# Control: u, Bv, M
# Dynamics
PA'(t) = ((x / B) - (39 / u))
qI'(t) = ((H * -84) + (t / -2)),
# Initial Conditions
PA(95) = vP
qI(95) = 97,
# Final Conditions
PA(tf) = vi
qI(tf) = p,
# State Constraints
PA(t) => m
qI(t) <= vP,
# Variable Constraints
,
# Control Constraints
Bv(t) <= vP
where vi = 85, p = 76, m = ((-91 + -55) + (p * 18)), vP = ((97 + -39) + (75 / m))","###DSL:
vi = 85
p = 76
m = ((-91 + -55) + (p * 18))
vP = ((97 + -39) + (75 / m))

@def begin
    x = (H, tf, Uh) ∈ R³, variable
    t ∈ [95, tf], time
    s = (PA, qI) ∈ R², state
    u = (Bv, M) ∈ R², control

    # Dynamics
    ∂(PA)(t) == ((x / B) - (39 / u))
    ∂(qI)(t) == ((H * -84) + (t / -2))

    # Initial Conditions
    PA(95) == vP
    qI(95) == 97

    # Final Conditions
    PA(tf) == vi
    qI(tf) == p

    # State Constraints
    PA(t) ≥ m
    qI(t) ≤ vP

    # Variable Constraints
    tf ≥ 95

    # Control Constraints
    Bv(t) ≤ vP

    # Objective
    (H + s) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (K * E)
# Variable: KZ
# State: s, Bc, m
# Control: u, En, g, H
# Dynamics
Bc'(t) = ((g / 15) - (g / E)),
# Initial Conditions
,
# Final Conditions
m(86) = 88,
# State Constraints
Bc(t) <= -42,
# Variable Constraints
KZ <= -68,
# Control Constraints
En(t) => -19
82 => g(t) => 11
","###DSL:

@def begin
    KZ ∈ R, variable
    t ∈ [68, 86], time
    s = (Bc, m) ∈ R², state
    u = (En, g, H) ∈ R³, control

    # Dynamics
    ∂(Bc)(t) == ((g / 15) - (g / E))

    # Initial Conditions

    # Final Conditions
    m(86) == 88

    # State Constraints
    Bc(t) ≤ -42

    # Variable Constraints
    KZ ≤ -68

    # Control Constraints
    En(t) ≥ -19
    82 ≥ g(t) ≥ 11

    # Objective
    (K * E) => max
end
<TOKEN_FINAL>"
